date,value,log
2002-09-01,3982716.0289,15.197474563840043
2002-12-01,4013024.0535,15.205055643125933
2003-03-01,4049252.6642,15.21404289469743
2003-06-01,4039441.2417,15.211616933862205
2003-09-01,4043468.9595,15.212613534847025
2003-12-01,4070930.0892,15.219382054456304
2004-03-01,4085622.1212,15.222984568732086
2004-06-01,4104964.2723,15.227707597371595
2004-09-01,4109070.8818,15.228707498093982
2004-12-01,4170277.0692,15.243493035020952
2005-03-01,4228740.0386,15.257414643437272
2005-06-01,4255480.136,15.263718154046641
2005-09-01,4263419.6552,15.265582132187802
2005-12-01,4257918.0127,15.264290869365261
2006-03-01,4258757.6234,15.264488038011478
2006-06-01,4313142.5774,15.277177332676912
2006-09-01,4362359.1415,15.28852355649016
2006-12-01,4391359.6712,15.295149457189105
2007-03-01,4391184.8517000005,15.295109646517021
2007-06-01,4456072.2105,15.309778265686859
2007-09-01,4474066.9718,15.313808390030593
2007-12-01,4531494.5074,15.326562356383112
2008-03-01,4548841.1553,15.330383067344979
2008-06-01,4590767.891,15.339557864558389
2008-09-01,4626407.7504,15.3472912610798
2008-12-01,4590598.3938,15.339520942559034
2009-03-01,4570525.7393,15.335138797675949
2009-06-01,4528318.3337,15.325861199772964
2009-09-01,4520011.8521,15.324025173950993
2009-12-01,4566396.3306,15.33423490269916
2010-03-01,4594576.6887,15.340387185197423
2010-06-01,4647248.8499,15.351785957289668
2010-09-01,4673372.4297,15.357391516709269
2010-12-01,4710264.682,15.365254660167393
2011-03-01,4742639.7822,15.372104454727003
2011-06-01,4713334.0614,15.365906084234169
2011-09-01,4751517.4749,15.37397459339166
2011-12-01,4770715.3945,15.378006829501565
2012-03-01,4774396.2666,15.378778087589087
2012-06-01,4779968.041,15.379944418462024
2012-09-01,4774674.0961,15.37883627744203
2012-12-01,4787178.265,15.381451707079647
2013-03-01,4797979.7391,15.383705499592535
2013-06-01,4817270.0012,15.387717935774962
2013-09-01,4837098.5224,15.391825620090552
2013-12-01,4807872.6376,15.385765265162462
2014-03-01,4811351.9014,15.386488663173939
2014-06-01,4835613.0315,15.391518469214937
2014-09-01,4840204.3381,15.392467496417336
2014-12-01,4825004.3082,15.389322185646016
2015-03-01,4892756.8477,15.403266475126811
2015-06-01,4900837.4077,15.404916648009806
2015-09-01,4922583.0779,15.409343966529232
2015-12-01,4958214.7027,15.416556294935756
2016-03-01,4981949.5897,15.42133185626652
2016-06-01,4947767.8481,15.414447093063178
2016-09-01,4982096.7859,15.421361401733183
2016-12-01,5005833.0209,15.426114394624491
2017-03-01,5049910.8752,15.434881152620559
2017-06-01,5091787.8672,15.44313957777592
2017-09-01,5121671.9422,15.448991494920385
2017-12-01,5168663.7029,15.458124741682475
2018-03-01,5162068.9199,15.456848010566375
2018-06-01,5203395.9014,15.464822028363638
2018-09-01,5221598.1622,15.468314074341999
2018-12-01,5246859.9016,15.473140341645331
2019-03-01,5306713.6656,15.484483306256097
2019-06-01,5295264.2291,15.482323437396772
2019-09-01,5315269.3331,15.48609424262293
2019-12-01,5325400.6453,15.487998505283475
2020-03-01,5312825.7248,15.48563440323878
2020-06-01,4838596.0374,15.392135161695592
2020-09-01,5043681.4179,15.43364681346557
2020-12-01,5201828.115,15.46452068234564
2021-03-01,5275107.3959,15.478509596531477
2021-06-01,5339390.6428,15.49062209258992
2021-09-01,5195853.7097,15.463371501969048
2021-12-01,5331459.8859,15.489135658431948
2022-03-01,5366552.4283,15.495696254407843
2022-06-01,5521203.9225,15.52410649637469
2022-09-01,5593650.2799,15.537142633789415
2022-12-01,5709726.0975,15.557681611567462
2023-03-01,5771857.0219,15.568504427588497
2023-06-01,5854915.4232,15.58279210968332
2023-09-01,5794712.1071,15.572456353987839
2023-12-01,5759380.8627,15.566340537780121
2024-03-01,5796063.9259,15.572689611675207
2024-06-01,5827236.8219,15.578053487465121
2024-09-01,5868890.247,15.585176118905572
2024-12-01,5910685.3905,15.592272353977924
2025-03-01,5923754.8813,15.594481076285541
2025-06-01,5945692.9959,15.598177649168855
2025-09-01,5948327.1712,15.59862059029491
2025-12-01,5983525.7549,15.60452054330666
2026-03-01,6034502.6485,15.613003997933026
